Orbit,AOCH532,TAU532
 35729,  1.74,  0.10
 35743,  1.24,  0.15
 35757,  1.28,  0.17
 35771,  1.26,  0.25
 35785,  1.52,  0.07
 35786,  1.54,  0.09
 35800,  2.00,  0.14
 35814,  1.71,  0.11
 35828,  1.59,  0.14
 35842,  1.50,  0.14
 35856,  1.65,  0.31
 35857,  1.77,  0.37
 35871,  1.69,  0.25
 35885,  1.79,  0.20
 35899,  1.50,  0.21
 35913,  1.20,  0.18
 35927,  1.10,  0.11
 35928,  1.12,  0.10
 35941,  1.41,  0.10
 35942,  1.79,  0.11
 35956,  1.45,  0.15
 35970,  1.55,  0.22
 35984,  1.20,  0.48
 35998,  1.32,  0.34
 36012,  1.37,  0.25
 36013,  1.52,  0.24
 36027,  1.34,  0.26
 36041,  1.55,  0.18
 36055,  1.32,  0.08
 36069,  1.32,  0.07
 36083,  1.03,  0.34
 36084,  0.96,  0.37
 36098,  1.14,  0.17
 36112,  1.20,  0.14
 36126,  1.49,  0.15
 36140,  1.32,  0.12
 36154,  1.10,  0.24
 36155,  1.16,  0.27
 36168,  1.31,  0.09
 36169,  1.47,  0.09
 36183,  1.43,  0.08
 36197,  1.17,  0.10
 36211,  1.43,  0.05
 36225,  1.29,  0.06
 36239,  1.44,  0.05
 36240,  1.34,  0.06
 36254,  2.16,  0.07
 36268,  1.63,  0.23
 36282,  2.13,  0.25
 36296,  1.36,  0.08
 36310,  1.60,  0.09
 36311,  1.67,  0.12
 36325,  1.24,  0.12
 36339,  1.38,  0.05
 36353,  1.81,  0.05
 36367,  1.24,  0.06
 36381,  1.11,  0.08
 36382,  1.21,  0.08
 36395,  0.96,  0.07
 36396,  1.10,  0.07
 36410,  1.00,  0.09
 36424,  0.95,  0.08
 36438,  1.75,  0.04
 36452,  1.42,  0.05
 36466,  1.64,  0.09
 36467,  1.68,  0.11
 36481,  1.79,  0.06
 36495,  1.81,  0.06
 36509,  1.52,  0.08
 36523,  0.90,  0.07
 36537,  1.12,  0.05
 36538,  1.23,  0.06
 36552,  1.41,  0.08
 36566,  1.26,  0.06
 36580,  1.56,  0.06
 36594,  1.69,  0.06
 36608,  1.12,  0.05
 36609,  1.21,  0.05
 36622,  1.21,  0.07
 36623,  1.46,  0.09
 36637,  1.38,  0.10
 36651,  1.59,  0.04
 36665,  1.43,  0.03
 36679,  1.22,  0.07
 36693,  1.17,  0.06
 36694,  1.13,  0.05
 36708,  1.06,  0.04
 36722,  1.41,  0.05
 36736,  1.09,  0.08
 36750,  0.92,  0.08
 36764,  1.06,  0.06
 36765,  1.16,  0.06
 36779,  1.59,  0.06
 36793,  1.21,  0.12
 36807,  1.26,  0.10
 36821,  0.96,  0.09
 36835,  1.48,  0.07
 36836,  1.59,  0.08
 36849,  1.24,  0.11
 36850,  1.18,  0.14
 36864,  0.95,  0.07
 36878,  1.30,  0.07
 36892,  1.11,  0.07
 36906,  1.02,  0.06
