date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-05-10 17:56:08,23698,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0510t173433-o23698_v01-2022m0704t200446.nc, 2414, 336, 0.94, 1.73, 0.14,115, 1.59, 0.29, 60,1.76,0.13
2022-06-01 17:44:17,24010,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0601t172242-o24010_v01-2022m0706t224832.nc, 2335, 271, 0.25, 1.41, 0.10, 18, 1.40, 0.14,  2,1.80,0.22
2022-06-04 16:47:13,24052,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0604t162538-o24052_v01-2022m0707t035849.nc, 2410,  35, 0.39, 2.04, 0.28,103, 1.68, 0.29,  4,2.15,0.14
2022-06-04 18:28:43,24053,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0604t180708-o24053_v01-2022m0707t035425.nc, 2317, 425, 0.46, 1.76, 0.06, 92, 1.59, 0.13, 35,2.15,0.14
2022-06-05 18:09:41,24067,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0605t174807-o24067_v01-2022m0707t042049.nc, 2316, 381, 0.50, 1.88, 0.20,128, 1.57, 0.34, 53,2.11,0.11
2022-06-06 17:50:40,24081,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0606t172905-o24081_v01-2022m0707t053152.nc, 2321, 304, 0.28, 1.76, 0.05,105, 1.73, 0.33, 60,2.18,0.11
2022-06-08 17:12:36,24109,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0608t165102-o24109_v01-2022m0609t234700.nc, 2359, 105,-0.60, 0.51, 0.06, 17, 0.51, 0.09,  2,1.54,0.27
2022-06-10 16:34:33,24137,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0610t161300-o24137_v01-2022m0613t142138.nc, 2428,  11, 0.61, 1.63, 0.13, 81, 1.62, 0.22,  3,1.89,0.12
2022-06-15 16:41:02,24208,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0615t161927-o24208_v01-2022m0616t192731.nc, 2409,  25, 0.13, 1.78, 0.03, 94, 1.75, 0.21, 60,1.79,0.20
2022-06-15 18:22:31,24209,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0615t180057-o24209_v01-2022m0616t192946.nc, 2304, 413,-0.30, 1.57, 0.02, 84, 1.55, 0.18, 56,1.75,0.24
2022-06-16 18:03:30,24223,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0616t174156-o24223_v01-2022m0617t170754.nc, 2306, 360, 0.54, 1.83, 0.13, 83, 1.83, 0.19,  2,1.46,0.30
2022-06-19 17:06:28,24265,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0619t164453-o24265_v01-2022m0620t181428.nc, 2361,  82,-0.07, 2.26, 0.10,105, 2.10, 0.44, 58,2.41,0.09
2022-06-20 16:47:26,24279,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0620t162551-o24279_v01-2022m0621t184020.nc, 2396,  35, 0.56, 1.31, 0.16, 48, 1.31, 0.16,  1,2.38,0.12
