date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2
2021-10-02 18:14:50,20577,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1002t175315-o20577_v01-2022m0615t114413.nc, 2862, 413, 0.83, 1.29, 0.12,126, 0.99, 0.28, 56
2021-10-03 17:55:42,20591,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1003t173407-o20591_v01-2022m0615t124645.nc, 2873, 360, 0.45, 1.50, 0.07,114, 1.44, 0.24, 60
2021-10-04 17:36:34,20605,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1004t171459-o20605_v01-2022m0615t144806.nc, 2891, 271, 0.42, 0.71, 0.03, 16, 0.71, 0.06,  5
2021-10-14 17:48:11,20747,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1014t172637-o20747_v01-2022m0616t084243.nc, 2966, 334, 0.69, 0.73, 0.02, 17, 0.73, 0.04,  6
2021-10-15 17:29:03,20761,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1015t170729-o20761_v01-2022m0616t105533.nc, 2987, 235, 0.09, 1.63, 0.18,114, 1.39, 0.28,  5
2021-10-19 17:54:01,20818,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1019t173226-o20818_v01-2022m0616t175113.nc, 3004, 360, 1.00, 1.90, 0.12,138, 1.75, 0.62, 51
2021-10-20 17:34:52,20832,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1020t171318-o20832_v01-2022m0616t194213.nc, 3023, 271, 0.35, 1.49, 0.13,139, 1.27, 0.52, 46
2021-10-21 17:15:44,20846,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1021t165410-o20846_v01-2022m0616t211128.nc, 3049, 163, 0.45, 1.76, 0.31,133, 1.49, 0.50, 60
2021-10-22 16:56:36,20860,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1022t163502-o20860_v01-2022m0616t233158.nc, 3085,  82,-0.01, 2.12, 0.49,124, 1.75, 0.42, 12
2021-10-27 17:02:28,20931,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1027t164053-o20931_v01-2022m0617t041427.nc, 3113, 105, 0.35, 1.80, 0.47,126, 1.17, 0.68, 21
2021-11-01 17:08:19,21002,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1101t164645-o21002_v01-2022m0617t182854.nc, 3141, 132, 0.84, 1.65, 0.42,111, 1.60, 0.80,  5
2021-11-03 16:30:04,21030,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1103t160830-o21030_v01-2022m0617t221927.nc, 3222,  25, 1.17, 1.78, 0.19,117, 1.64, 0.72, 19
2021-11-03 18:11:34,21031,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1103t174959-o21031_v01-2022m0617t221008.nc, 3117, 413, 1.55, 1.64, 0.18,108, 1.24, 0.62, 26
2021-11-05 17:33:20,21059,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1105t171145-o21059_v01-2022m0618t010723.nc, 3142, 271, 0.81, 1.53, 0.22,101, 1.44, 0.54,  8
2021-11-06 17:14:13,21073,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1106t165238-o21073_v01-2022m0618t044129.nc, 3167, 163, 0.58, 0.92, 0.12, 78, 0.89, 0.41, 15
2021-11-08 16:35:58,21101,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1108t161424-o21101_v01-2022m0618t060650.nc, 3244,  35, 1.08, 1.10, 0.42, 96, 0.99, 0.57,  3
2021-11-08 18:17:28,21102,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1108t175554-o21102_v01-2022m0618t063417.nc, 3151, 425, 1.32, 1.38, 0.22,110, 1.33, 0.70, 13
2021-11-09 17:58:21,21116,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1109t173647-o21116_v01-2022m0618t075703.nc, 3158, 381, 1.34, 1.12, 0.18,105, 0.92, 0.58, 26
2021-11-10 17:39:14,21130,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1110t171740-o21130_v01-2022m0618t095132.nc, 3172, 305, 0.99, 1.15, 0.15,124, 1.04, 0.32, 60
2021-11-16 17:26:06,21215,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1116t170431-o21215_v01-2022m0618t193327.nc, 3216, 234, 1.02, 1.46, 0.29,118, 1.13, 0.59, 59
2021-11-17 17:06:59,21229,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1117t164525-o21229_v01-2022m0618t212513.nc, 3244, 132, 0.70, 1.32, 0.06,126, 1.18, 0.26, 60
2021-11-18 16:47:53,21243,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1118t162619-o21243_v01-2022m0618t225219.nc, 3279,  63, 1.27, 1.39, 0.18,132, 1.09, 0.54, 34
2021-11-19 16:28:47,21257,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1119t160713-o21257_v01-2022m0619t020941.nc, 3321,  25, 1.21, 1.31, 0.23,115, 1.10, 0.47, 51
2021-11-19 18:10:17,21258,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1119t174842-o21258_v01-2022m0619t021133.nc, 3216, 413, 1.29, 1.42, 0.16,129, 1.00, 0.46, 58
2021-11-23 16:53:55,21314,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1123t163221-o21314_v01-2022m0619t083032.nc, 3294,  82, 0.85, 1.45, 0.18,132, 1.06, 0.51, 49
2021-11-24 16:34:50,21328,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1124t161316-o21328_v01-2022m0619t100225.nc, 3333,  35, 1.16, 1.06, 0.14,128, 0.89, 0.48, 54
2021-11-24 18:16:19,21329,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1124t175445-o21329_v01-2022m0619t103417.nc, 3241, 424, 1.55, 0.96, 0.14,119, 0.73, 0.31, 60
2021-11-26 17:38:09,21357,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1126t171635-o21357_v01-2022m0619t125514.nc, 3257, 304, 1.23, 1.26, 0.18, 81, 1.23, 0.45,  8
2021-11-27 17:19:03,21371,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1127t165731-o21371_v01-2022m0619t165508.nc, 3278, 198, 0.85, 1.53, 0.13,129, 1.30, 0.61, 49
2021-11-28 16:59:59,21385,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1128t163826-o21385_v01-2022m0619t191656.nc, 3307, 105, 0.63, 1.72, 0.29,133, 1.12, 0.40, 27
2021-12-01 17:44:17,21428,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1201t172243-o21428_v01-2022m0620t004422.nc, 3272, 334, 1.12, 1.06, 0.13, 19, 0.86, 0.25,  6
2021-12-04 16:47:05,21470,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1204t162531-o21470_v01-2022m0620t054029.nc, 3347,  63, 1.12, 1.20, 0.06, 88, 1.14, 0.19, 47
2021-12-06 17:50:28,21499,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1206t172854-o21499_v01-2022m0620t095041.nc, 3284, 360, 1.61, 0.79, 0.06, 47, 0.78, 0.10,  3
2021-12-12 17:37:40,21584,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1212t171605-o21584_v01-2022m0620t163043.nc, 3301, 305, 1.40, 2.30, 0.71, 99, 2.30, 0.98,  2
2021-12-15 16:40:33,21626,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1215t161858-o21626_v01-2022m0621t000256.nc, 3378,  48, 1.73, 0.90, 0.30, 84, 0.65, 0.12,  7
2021-12-15 18:22:02,21627,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1215t180028-o21627_v01-2022m0621t000245.nc, 3300, 440, 2.00, 0.63, 0.05, 23, 0.62, 0.08,  4
2021-12-16 16:21:30,21640,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1216t155956-o21640_v01-2022m0621t010622.nc, 3416,  12, 1.25, 1.50, 0.21,117, 1.47, 0.76, 17
2021-12-22 17:50:19,21726,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1222t172846-o21726_v01-2022m0621t121655.nc, 3303, 361, 1.46, 1.36, 0.17,147, 1.05, 0.47, 56
2021-12-23 17:31:19,21740,TROPOMI-Sentinel-5P_L2-TROPOMAER_2021m1223t170944-o21740_v01-2022m0621t141823.nc, 3312, 273, 1.13, 1.15, 0.14,108, 0.90, 0.36, 53
